	date	state	positive	negative	pending	hospitalized	death	total	hash	dateChecked	totalTestResults	fips	deathIncrease	hospitalizedIncrease	negativeIncrease	positiveIncrease	totalTestResultsIncrease
69	20200331	HI	204.0	8471.0	11.0	12.0	0.0	8686	6c66c5a65b90e64dd14fbc3681ffb5278239653d	2020-03-31T20:00:00Z	8675	15	0.0	0.0	646.0	29.0	675.0
70	20200331	IA	497.0	6888.0		94.0	7.0	7385	6e4380c574f8f07a890fd7ce437aa35f76a5630a	2020-03-31T20:00:00Z	7385	19	1.0	20.0	726.0	73.0	799.0
71	20200331	ID	415.0	5297.0		45.0	7.0	5712	31a2524cd9293ad06a5fa5ad75204fa0dc5f56a8	2020-03-31T20:00:00Z	5712	16	1.0	6.0	901.0	105.0	1006.0
72	20200331	IL	5994.0	29231.0			99.0	35225	6d3342d7069283e8be62943d22029dc73f176bf5	2020-03-31T20:00:00Z	35225	17	26.0	0.0	3842.0	937.0	4779.0
73	20200331	IN	2159.0	11214.0			49.0	13373	e920b962c4ecd0373dc5ddda5a87f2d844c8807d	2020-03-31T20:00:00Z	13373	18	14.0	0.0	1342.0	373.0	1715.0
74	20200331	KS	428.0	4996.0		79.0	9.0	5424	6c4ba61081e7d57d6b8f254a7f5d408ea682c0f2	2020-03-31T20:00:00Z	5424	20	1.0	13.0	442.0	60.0	502.0
75	20200331	KY	480.0	6330.0			11.0	6810	b642f5d66187a815cccfb9c4c7bb649865454f0e	2020-03-31T20:00:00Z	6810	21	2.0	0.0	751.0	41.0	792.0
76	20200331	LA	5237.0	33730.0		1355.0	239.0	38967	b23361dd06195ef3a0b46f7bd6216e913f5d5aee	2020-03-31T20:00:00Z	38967	22	54.0	170.0	3722.0	1212.0	4934.0
77	20200331	MA	6620.0	40315.0		562.0	89.0	46935	30fd83ed280b86d815a187d2b5ae3b16f52a519b	2020-03-31T20:00:00Z	46935	25	33.0	109.0	3274.0	868.0	4142.0
78	20200331	MD	1660.0	14868.0		429.0	18.0	16528	1dbc876024de2cbdb83b6ad63a31a2aa655fdef9	2020-03-31T20:00:00Z	16528	24	3.0	76.0	1552.0	247.0	1799.0
79	20200331	ME	303.0	6088.0		57.0	5.0	6391	96dffeaf0bbfb3ff27bdc3de30568825d7fcc86b	2020-03-31T20:00:00Z	6391	23	2.0	8.0	2694.0	28.0	2722.0
80	20200331	MI	7615.0	11893.0			259.0	19508	75693cd35dd44a6c4c65aa16dca2b6daac24ebee	2020-03-31T20:00:00Z	19508	26	75.0	0.0	0.0	1117.0	1117.0
81	20200331	MN	629.0	19151.0		112.0	12.0	19780	524dec02dfa8218aa9f69e7a1d798cad63f2c8e9	2020-03-31T20:00:00Z	19780	27	2.0	20.0	905.0	53.0	958.0
82	20200331	MO	1327.0	14614.0			14.0	15941	4c0102e9a4d7eb65a95531d1f7de1605b5eb7c87	2020-03-31T20:00:00Z	15941	29	1.0	0.0	1410.0	296.0	1706.0
83	20200331	MP	2.0					2	46591ef0a510bdfca790a113dbdfbd87bc8a240d	2020-03-31T20:00:00Z	2	69	0.0	0.0	0.0	0.0	0.0
84	20200331	MS	937.0	3537.0		211.0	20.0	4474	e334e2dfeb150bc9492057e4d91df6d80b1da8c9	2020-03-31T20:00:00Z	4474	28	4.0	16.0	548.0	90.0	638.0
85	20200331	MT	184.0	4234.0		14.0	4.0	4418	8ba4dfd10bd0395557d9baed835dccc6fc762afb	2020-03-31T20:00:00Z	4418	30	0.0	4.0	273.0	13.0	286.0
86	20200331	NC	1498.0	21608.0		157.0	8.0	23106	cd26c39503d6d3d3f31063b2cca1df1fd760d50a	2020-03-31T20:00:00Z	23106	37	2.0	20.0	2051.0	191.0	2242.0
87	20200331	ND	126.0	4131.0		21.0	3.0	4257	6510797e02aeb774271e4e454323c76f885368bf	2020-03-31T20:00:00Z	4257	38	1.0	2.0	403.0	17.0	420.0
88	20200331	NE	172.0	2931.0	8.0		3.0	3111	547e76fdb9c49be3fd761d0c3b4ec24c39126b56	2020-03-31T20:00:00Z	3103	31	1.0	0.0	347.0	27.0	374.0
89	20200331	NH	314.0	5413.0	65.0	45.0	3.0	5792	decd84c2e36ab1a744939775f7051285a5888ebb	2020-03-31T20:00:00Z	5727	33	0.0	0.0	27.0	0.0	27.0
90	20200331	NJ	18696.0	27077.0			267.0	45773	9ccc25565604f1c4a55f572d5d4650a37939db74	2020-03-31T20:00:00Z	45773	34	69.0	0.0	1853.0	2060.0	3913.0
91	20200331	NM	281.0	12246.0		22.0	4.0	12527	9786ba06dcc7a098b496f195bb29531e94f37f24	2020-03-31T20:00:00Z	12527	35	2.0	0.0	1304.0	44.0	1348.0
92	20200331	NV	1113.0	10681.0			17.0	11794	c377a1271393019608a595198fdafff8984bccff	2020-03-31T20:00:00Z	11794	32	2.0	0.0	474.0	105.0	579.0
93	20200331	NY	75795.0	129391.0		15904.0	1550.0	205186	e5ec3a4f5fee481362524fc7b229335021b44c0b	2020-03-31T20:00:00Z	205186	36	332.0	2183.0	9420.0	9298.0	18718.0
