	region_code	region	death	date
329	10	Umbria	37	2015-01-17
330	11	Marche	56	2015-01-17
331	12	Lazio	205	2015-01-17
332	13	Abruzzo	51	2015-01-17
333	14	Molise	10	2015-01-17
334	15	Campania	217	2015-01-17
335	16	Puglia	129	2015-01-17
336	17	Basilicata	18	2015-01-17
337	18	Calabria	75	2015-01-17
338	19	Sicilia	189	2015-01-17
339	20	Sardegna	65	2015-01-17
340	1	Piemonte	137	2015-01-18
341	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-18
342	3	Lombardia	306	2015-01-18
343	4	Trentino-Alto Adige/Südtirol	30	2015-01-18
344	5	Veneto	153	2015-01-18
345	6	Friuli-Venezia Giulia	63	2015-01-18
346	7	Liguria	82	2015-01-18
347	8	Emilia-Romagna	165	2015-01-18
348	9	Toscana	141	2015-01-18
349	10	Umbria	37	2015-01-18
350	11	Marche	56	2015-01-18
351	12	Lazio	205	2015-01-18
352	13	Abruzzo	51	2015-01-18
353	14	Molise	10	2015-01-18
354	15	Campania	217	2015-01-18
355	16	Puglia	129	2015-01-18
356	17	Basilicata	18	2015-01-18
357	18	Calabria	75	2015-01-18
358	19	Sicilia	189	2015-01-18
359	20	Sardegna	65	2015-01-18
360	1	Piemonte	137	2015-01-19
361	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-19
362	3	Lombardia	306	2015-01-19
363	4	Trentino-Alto Adige/Südtirol	30	2015-01-19
364	5	Veneto	153	2015-01-19
365	6	Friuli-Venezia Giulia	63	2015-01-19
366	7	Liguria	82	2015-01-19
367	8	Emilia-Romagna	165	2015-01-19
368	9	Toscana	141	2015-01-19
369	10	Umbria	37	2015-01-19
370	11	Marche	56	2015-01-19
371	12	Lazio	205	2015-01-19
372	13	Abruzzo	51	2015-01-19
373	14	Molise	10	2015-01-19
374	15	Campania	217	2015-01-19
375	16	Puglia	129	2015-01-19
376	17	Basilicata	18	2015-01-19
377	18	Calabria	75	2015-01-19
378	19	Sicilia	189	2015-01-19
379	20	Sardegna	65	2015-01-19
380	1	Piemonte	137	2015-01-20
381	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-20
382	3	Lombardia	306	2015-01-20
383	4	Trentino-Alto Adige/Südtirol	30	2015-01-20
384	5	Veneto	153	2015-01-20
385	6	Friuli-Venezia Giulia	63	2015-01-20
386	7	Liguria	82	2015-01-20
387	8	Emilia-Romagna	165	2015-01-20
388	9	Toscana	141	2015-01-20
389	10	Umbria	37	2015-01-20
390	11	Marche	56	2015-01-20
391	12	Lazio	205	2015-01-20
392	13	Abruzzo	51	2015-01-20
393	14	Molise	10	2015-01-20
394	15	Campania	217	2015-01-20
395	16	Puglia	129	2015-01-20
396	17	Basilicata	18	2015-01-20
397	18	Calabria	75	2015-01-20
398	19	Sicilia	189	2015-01-20
399	20	Sardegna	65	2015-01-20
400	1	Piemonte	137	2015-01-21
401	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-21
402	3	Lombardia	306	2015-01-21
403	4	Trentino-Alto Adige/Südtirol	30	2015-01-21
404	5	Veneto	153	2015-01-21
405	6	Friuli-Venezia Giulia	63	2015-01-21
406	7	Liguria	82	2015-01-21
407	8	Emilia-Romagna	165	2015-01-21
408	9	Toscana	141	2015-01-21
409	10	Umbria	37	2015-01-21
410	11	Marche	56	2015-01-21
411	12	Lazio	205	2015-01-21
412	13	Abruzzo	51	2015-01-21
413	14	Molise	10	2015-01-21
414	15	Campania	217	2015-01-21
415	16	Puglia	129	2015-01-21
416	17	Basilicata	18	2015-01-21
417	18	Calabria	75	2015-01-21
418	19	Sicilia	189	2015-01-21
419	20	Sardegna	65	2015-01-21
420	1	Piemonte	137	2015-01-22
421	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-22
422	3	Lombardia	306	2015-01-22
423	4	Trentino-Alto Adige/Südtirol	30	2015-01-22
424	5	Veneto	153	2015-01-22
425	6	Friuli-Venezia Giulia	63	2015-01-22
426	7	Liguria	82	2015-01-22
427	8	Emilia-Romagna	165	2015-01-22
428	9	Toscana	141	2015-01-22
429	10	Umbria	37	2015-01-22
430	11	Marche	56	2015-01-22
431	12	Lazio	205	2015-01-22
432	13	Abruzzo	51	2015-01-22
433	14	Molise	10	2015-01-22
434	15	Campania	217	2015-01-22
435	16	Puglia	129	2015-01-22
436	17	Basilicata	18	2015-01-22
437	18	Calabria	75	2015-01-22
438	19	Sicilia	189	2015-01-22
439	20	Sardegna	65	2015-01-22
440	1	Piemonte	137	2015-01-23
441	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-23
442	3	Lombardia	306	2015-01-23
443	4	Trentino-Alto Adige/Südtirol	30	2015-01-23
444	5	Veneto	153	2015-01-23
445	6	Friuli-Venezia Giulia	63	2015-01-23
446	7	Liguria	82	2015-01-23
447	8	Emilia-Romagna	165	2015-01-23
448	9	Toscana	141	2015-01-23
449	10	Umbria	37	2015-01-23
450	11	Marche	56	2015-01-23
451	12	Lazio	205	2015-01-23
452	13	Abruzzo	51	2015-01-23
453	14	Molise	10	2015-01-23
454	15	Campania	217	2015-01-23
455	16	Puglia	129	2015-01-23
456	17	Basilicata	18	2015-01-23
457	18	Calabria	75	2015-01-23
458	19	Sicilia	189	2015-01-23
459	20	Sardegna	65	2015-01-23
460	1	Piemonte	137	2015-01-24
461	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-24
462	3	Lombardia	306	2015-01-24
463	4	Trentino-Alto Adige/Südtirol	30	2015-01-24
464	5	Veneto	153	2015-01-24
465	6	Friuli-Venezia Giulia	63	2015-01-24
466	7	Liguria	82	2015-01-24
467	8	Emilia-Romagna	165	2015-01-24
468	9	Toscana	141	2015-01-24
469	10	Umbria	37	2015-01-24
470	11	Marche	56	2015-01-24
471	12	Lazio	205	2015-01-24
472	13	Abruzzo	51	2015-01-24
473	14	Molise	10	2015-01-24
474	15	Campania	217	2015-01-24
475	16	Puglia	129	2015-01-24
476	17	Basilicata	18	2015-01-24
477	18	Calabria	75	2015-01-24
478	19	Sicilia	189	2015-01-24
479	20	Sardegna	65	2015-01-24
480	1	Piemonte	137	2015-01-25
481	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-25
482	3	Lombardia	306	2015-01-25
483	4	Trentino-Alto Adige/Südtirol	30	2015-01-25
484	5	Veneto	153	2015-01-25
485	6	Friuli-Venezia Giulia	63	2015-01-25
486	7	Liguria	82	2015-01-25
487	8	Emilia-Romagna	165	2015-01-25
488	9	Toscana	141	2015-01-25
489	10	Umbria	37	2015-01-25
490	11	Marche	56	2015-01-25
491	12	Lazio	205	2015-01-25
492	13	Abruzzo	51	2015-01-25
493	14	Molise	10	2015-01-25
494	15	Campania	217	2015-01-25
495	16	Puglia	129	2015-01-25
496	17	Basilicata	18	2015-01-25
497	18	Calabria	75	2015-01-25
498	19	Sicilia	189	2015-01-25
499	20	Sardegna	65	2015-01-25
500	1	Piemonte	137	2015-01-26
501	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-26
502	3	Lombardia	306	2015-01-26
503	4	Trentino-Alto Adige/Südtirol	30	2015-01-26
504	5	Veneto	153	2015-01-26
505	6	Friuli-Venezia Giulia	63	2015-01-26
506	7	Liguria	82	2015-01-26
507	8	Emilia-Romagna	165	2015-01-26
508	9	Toscana	141	2015-01-26
509	10	Umbria	37	2015-01-26
510	11	Marche	56	2015-01-26
511	12	Lazio	205	2015-01-26
512	13	Abruzzo	51	2015-01-26
513	14	Molise	10	2015-01-26
514	15	Campania	217	2015-01-26
515	16	Puglia	129	2015-01-26
516	17	Basilicata	18	2015-01-26
517	18	Calabria	75	2015-01-26
518	19	Sicilia	189	2015-01-26
519	20	Sardegna	65	2015-01-26
520	1	Piemonte	137	2015-01-27
521	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-27
522	3	Lombardia	306	2015-01-27
523	4	Trentino-Alto Adige/Südtirol	30	2015-01-27
524	5	Veneto	153	2015-01-27
525	6	Friuli-Venezia Giulia	63	2015-01-27
526	7	Liguria	82	2015-01-27
527	8	Emilia-Romagna	165	2015-01-27
528	9	Toscana	141	2015-01-27
529	10	Umbria	37	2015-01-27
530	11	Marche	56	2015-01-27
531	12	Lazio	205	2015-01-27
532	13	Abruzzo	51	2015-01-27
533	14	Molise	10	2015-01-27
534	15	Campania	217	2015-01-27
535	16	Puglia	129	2015-01-27
536	17	Basilicata	18	2015-01-27
537	18	Calabria	75	2015-01-27
538	19	Sicilia	189	2015-01-27
539	20	Sardegna	65	2015-01-27
540	1	Piemonte	137	2015-01-28
541	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-28
542	3	Lombardia	306	2015-01-28
543	4	Trentino-Alto Adige/Südtirol	30	2015-01-28
544	5	Veneto	153	2015-01-28
545	6	Friuli-Venezia Giulia	63	2015-01-28
546	7	Liguria	82	2015-01-28
547	8	Emilia-Romagna	165	2015-01-28
548	9	Toscana	141	2015-01-28
549	10	Umbria	37	2015-01-28
550	11	Marche	56	2015-01-28
551	12	Lazio	205	2015-01-28
552	13	Abruzzo	51	2015-01-28
553	14	Molise	10	2015-01-28
554	15	Campania	217	2015-01-28
555	16	Puglia	129	2015-01-28
556	17	Basilicata	18	2015-01-28
557	18	Calabria	75	2015-01-28
558	19	Sicilia	189	2015-01-28
559	20	Sardegna	65	2015-01-28
560	1	Piemonte	137	2015-01-29
561	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-29
562	3	Lombardia	306	2015-01-29
563	4	Trentino-Alto Adige/Südtirol	30	2015-01-29
564	5	Veneto	153	2015-01-29
