	region_code	region	death	date
7141	2	Valle d'Aosta/Vallée d'Aoste	2	2017-04-27
7142	3	Lombardia	253	2017-04-27
7143	4	Trentino-Alto Adige/Südtirol	29	2017-04-27
7144	5	Veneto	147	2017-04-27
7145	6	Friuli-Venezia Giulia	54	2017-04-27
7146	7	Liguria	61	2017-04-27
7147	8	Emilia-Romagna	126	2017-04-27
7148	9	Toscana	115	2017-04-27
7149	10	Umbria	24	2017-04-27
7150	11	Marche	55	2017-04-27
7151	12	Lazio	173	2017-04-27
7152	13	Abruzzo	35	2017-04-27
7153	14	Molise	6	2017-04-27
7154	15	Campania	130	2017-04-27
7155	16	Puglia	83	2017-04-27
7156	17	Basilicata	23	2017-04-27
7157	18	Calabria	63	2017-04-27
7158	19	Sicilia	138	2017-04-27
7159	20	Sardegna	49	2017-04-27
7160	1	Piemonte	139	2017-04-28
7161	2	Valle d'Aosta/Vallée d'Aoste	2	2017-04-28
7162	3	Lombardia	253	2017-04-28
7163	4	Trentino-Alto Adige/Südtirol	29	2017-04-28
7164	5	Veneto	147	2017-04-28
7165	6	Friuli-Venezia Giulia	54	2017-04-28
7166	7	Liguria	61	2017-04-28
7167	8	Emilia-Romagna	126	2017-04-28
7168	9	Toscana	115	2017-04-28
7169	10	Umbria	24	2017-04-28
7170	11	Marche	55	2017-04-28
7171	12	Lazio	173	2017-04-28
7172	13	Abruzzo	35	2017-04-28
7173	14	Molise	6	2017-04-28
7174	15	Campania	130	2017-04-28
7175	16	Puglia	83	2017-04-28
7176	17	Basilicata	23	2017-04-28
7177	18	Calabria	63	2017-04-28
7178	19	Sicilia	138	2017-04-28
7179	20	Sardegna	49	2017-04-28
7180	1	Piemonte	139	2017-04-29
7181	2	Valle d'Aosta/Vallée d'Aoste	2	2017-04-29
7182	3	Lombardia	253	2017-04-29
7183	4	Trentino-Alto Adige/Südtirol	29	2017-04-29
7184	5	Veneto	147	2017-04-29
7185	6	Friuli-Venezia Giulia	54	2017-04-29
7186	7	Liguria	61	2017-04-29
7187	8	Emilia-Romagna	126	2017-04-29
7188	9	Toscana	115	2017-04-29
7189	10	Umbria	24	2017-04-29
7190	11	Marche	55	2017-04-29
7191	12	Lazio	173	2017-04-29
7192	13	Abruzzo	35	2017-04-29
7193	14	Molise	6	2017-04-29
7194	15	Campania	130	2017-04-29
7195	16	Puglia	83	2017-04-29
7196	17	Basilicata	23	2017-04-29
7197	18	Calabria	63	2017-04-29
7198	19	Sicilia	138	2017-04-29
7199	20	Sardegna	49	2017-04-29
7200	1	Piemonte	139	2017-04-30
7201	2	Valle d'Aosta/Vallée d'Aoste	2	2017-04-30
7202	3	Lombardia	253	2017-04-30
7203	4	Trentino-Alto Adige/Südtirol	29	2017-04-30
7204	5	Veneto	147	2017-04-30
7205	6	Friuli-Venezia Giulia	54	2017-04-30
7206	7	Liguria	61	2017-04-30
7207	8	Emilia-Romagna	126	2017-04-30
7208	9	Toscana	115	2017-04-30
7209	10	Umbria	24	2017-04-30
7210	11	Marche	55	2017-04-30
7211	12	Lazio	173	2017-04-30
7212	13	Abruzzo	35	2017-04-30
7213	14	Molise	6	2017-04-30
7214	15	Campania	130	2017-04-30
7215	16	Puglia	83	2017-04-30
7216	17	Basilicata	23	2017-04-30
7217	18	Calabria	63	2017-04-30
7218	19	Sicilia	138	2017-04-30
7219	20	Sardegna	49	2017-04-30
7220	1	Piemonte	220	2018-01-01
7221	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-01
7222	3	Lombardia	351	2018-01-01
7223	4	Trentino-Alto Adige/Südtirol	31	2018-01-01
7224	5	Veneto	168	2018-01-01
7225	6	Friuli-Venezia Giulia	45	2018-01-01
7226	7	Liguria	73	2018-01-01
7227	8	Emilia-Romagna	169	2018-01-01
7228	9	Toscana	157	2018-01-01
7229	10	Umbria	43	2018-01-01
7230	11	Marche	52	2018-01-01
7231	12	Lazio	227	2018-01-01
7232	13	Abruzzo	56	2018-01-01
7233	14	Molise	15	2018-01-01
7234	15	Campania	196	2018-01-01
7235	16	Puglia	131	2018-01-01
7236	17	Basilicata	24	2018-01-01
7237	18	Calabria	75	2018-01-01
7238	19	Sicilia	197	2018-01-01
7239	20	Sardegna	70	2018-01-01
7240	1	Piemonte	220	2018-01-02
7241	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-02
7242	3	Lombardia	351	2018-01-02
7243	4	Trentino-Alto Adige/Südtirol	31	2018-01-02
7244	5	Veneto	168	2018-01-02
7245	6	Friuli-Venezia Giulia	45	2018-01-02
7246	7	Liguria	73	2018-01-02
7247	8	Emilia-Romagna	169	2018-01-02
7248	9	Toscana	157	2018-01-02
7249	10	Umbria	43	2018-01-02
7250	11	Marche	52	2018-01-02
7251	12	Lazio	227	2018-01-02
7252	13	Abruzzo	56	2018-01-02
7253	14	Molise	15	2018-01-02
7254	15	Campania	196	2018-01-02
7255	16	Puglia	131	2018-01-02
7256	17	Basilicata	24	2018-01-02
7257	18	Calabria	75	2018-01-02
7258	19	Sicilia	197	2018-01-02
7259	20	Sardegna	70	2018-01-02
7260	1	Piemonte	220	2018-01-03
7261	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-03
7262	3	Lombardia	351	2018-01-03
7263	4	Trentino-Alto Adige/Südtirol	31	2018-01-03
7264	5	Veneto	168	2018-01-03
7265	6	Friuli-Venezia Giulia	45	2018-01-03
7266	7	Liguria	73	2018-01-03
7267	8	Emilia-Romagna	169	2018-01-03
7268	9	Toscana	157	2018-01-03
7269	10	Umbria	43	2018-01-03
7270	11	Marche	52	2018-01-03
7271	12	Lazio	227	2018-01-03
7272	13	Abruzzo	56	2018-01-03
7273	14	Molise	15	2018-01-03
7274	15	Campania	196	2018-01-03
7275	16	Puglia	131	2018-01-03
7276	17	Basilicata	24	2018-01-03
7277	18	Calabria	75	2018-01-03
7278	19	Sicilia	197	2018-01-03
7279	20	Sardegna	70	2018-01-03
7280	1	Piemonte	220	2018-01-04
7281	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-04
7282	3	Lombardia	351	2018-01-04
7283	4	Trentino-Alto Adige/Südtirol	31	2018-01-04
7284	5	Veneto	168	2018-01-04
7285	6	Friuli-Venezia Giulia	45	2018-01-04
7286	7	Liguria	73	2018-01-04
7287	8	Emilia-Romagna	169	2018-01-04
7288	9	Toscana	157	2018-01-04
7289	10	Umbria	43	2018-01-04
7290	11	Marche	52	2018-01-04
7291	12	Lazio	227	2018-01-04
7292	13	Abruzzo	56	2018-01-04
7293	14	Molise	15	2018-01-04
7294	15	Campania	196	2018-01-04
7295	16	Puglia	131	2018-01-04
7296	17	Basilicata	24	2018-01-04
7297	18	Calabria	75	2018-01-04
7298	19	Sicilia	197	2018-01-04
7299	20	Sardegna	70	2018-01-04
7300	1	Piemonte	220	2018-01-05
7301	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-05
7302	3	Lombardia	351	2018-01-05
7303	4	Trentino-Alto Adige/Südtirol	31	2018-01-05
7304	5	Veneto	168	2018-01-05
7305	6	Friuli-Venezia Giulia	45	2018-01-05
7306	7	Liguria	73	2018-01-05
7307	8	Emilia-Romagna	169	2018-01-05
7308	9	Toscana	157	2018-01-05
7309	10	Umbria	43	2018-01-05
7310	11	Marche	52	2018-01-05
7311	12	Lazio	227	2018-01-05
7312	13	Abruzzo	56	2018-01-05
7313	14	Molise	15	2018-01-05
7314	15	Campania	196	2018-01-05
7315	16	Puglia	131	2018-01-05
7316	17	Basilicata	24	2018-01-05
7317	18	Calabria	75	2018-01-05
7318	19	Sicilia	197	2018-01-05
7319	20	Sardegna	70	2018-01-05
7320	1	Piemonte	220	2018-01-06
7321	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-06
7322	3	Lombardia	351	2018-01-06
7323	4	Trentino-Alto Adige/Südtirol	31	2018-01-06
7324	5	Veneto	168	2018-01-06
7325	6	Friuli-Venezia Giulia	45	2018-01-06
7326	7	Liguria	73	2018-01-06
7327	8	Emilia-Romagna	169	2018-01-06
7328	9	Toscana	157	2018-01-06
7329	10	Umbria	43	2018-01-06
7330	11	Marche	52	2018-01-06
7331	12	Lazio	227	2018-01-06
7332	13	Abruzzo	56	2018-01-06
7333	14	Molise	15	2018-01-06
7334	15	Campania	196	2018-01-06
7335	16	Puglia	131	2018-01-06
7336	17	Basilicata	24	2018-01-06
7337	18	Calabria	75	2018-01-06
7338	19	Sicilia	197	2018-01-06
7339	20	Sardegna	70	2018-01-06
7340	1	Piemonte	220	2018-01-07
7341	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-07
7342	3	Lombardia	351	2018-01-07
7343	4	Trentino-Alto Adige/Südtirol	31	2018-01-07
7344	5	Veneto	168	2018-01-07
7345	6	Friuli-Venezia Giulia	45	2018-01-07
7346	7	Liguria	73	2018-01-07
7347	8	Emilia-Romagna	169	2018-01-07
7348	9	Toscana	157	2018-01-07
7349	10	Umbria	43	2018-01-07
7350	11	Marche	52	2018-01-07
7351	12	Lazio	227	2018-01-07
7352	13	Abruzzo	56	2018-01-07
7353	14	Molise	15	2018-01-07
7354	15	Campania	196	2018-01-07
7355	16	Puglia	131	2018-01-07
7356	17	Basilicata	24	2018-01-07
7357	18	Calabria	75	2018-01-07
7358	19	Sicilia	197	2018-01-07
7359	20	Sardegna	70	2018-01-07
7360	1	Piemonte	220	2018-01-08
7361	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-08
7362	3	Lombardia	351	2018-01-08
7363	4	Trentino-Alto Adige/Südtirol	31	2018-01-08
7364	5	Veneto	168	2018-01-08
7365	6	Friuli-Venezia Giulia	45	2018-01-08
7366	7	Liguria	73	2018-01-08
7367	8	Emilia-Romagna	169	2018-01-08
7368	9	Toscana	157	2018-01-08
7369	10	Umbria	43	2018-01-08
7370	11	Marche	52	2018-01-08
7371	12	Lazio	227	2018-01-08
7372	13	Abruzzo	56	2018-01-08
7373	14	Molise	15	2018-01-08
7374	15	Campania	196	2018-01-08
7375	16	Puglia	131	2018-01-08
7376	17	Basilicata	24	2018-01-08
7377	18	Calabria	75	2018-01-08
7378	19	Sicilia	197	2018-01-08
7379	20	Sardegna	70	2018-01-08
7380	1	Piemonte	220	2018-01-09
7381	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-09
7382	3	Lombardia	351	2018-01-09
7383	4	Trentino-Alto Adige/Südtirol	31	2018-01-09
7384	5	Veneto	168	2018-01-09
7385	6	Friuli-Venezia Giulia	45	2018-01-09
7386	7	Liguria	73	2018-01-09
7387	8	Emilia-Romagna	169	2018-01-09
7388	9	Toscana	157	2018-01-09
7389	10	Umbria	43	2018-01-09
7390	11	Marche	52	2018-01-09
7391	12	Lazio	227	2018-01-09
7392	13	Abruzzo	56	2018-01-09
7393	14	Molise	15	2018-01-09
7394	15	Campania	196	2018-01-09
7395	16	Puglia	131	2018-01-09
7396	17	Basilicata	24	2018-01-09
7397	18	Calabria	75	2018-01-09
7398	19	Sicilia	197	2018-01-09
7399	20	Sardegna	70	2018-01-09
7400	1	Piemonte	220	2018-01-10
7401	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-10
7402	3	Lombardia	351	2018-01-10
7403	4	Trentino-Alto Adige/Südtirol	31	2018-01-10
7404	5	Veneto	168	2018-01-10
7405	6	Friuli-Venezia Giulia	45	2018-01-10
7406	7	Liguria	73	2018-01-10
7407	8	Emilia-Romagna	169	2018-01-10
7408	9	Toscana	157	2018-01-10
7409	10	Umbria	43	2018-01-10
7410	11	Marche	52	2018-01-10
7411	12	Lazio	227	2018-01-10
7412	13	Abruzzo	56	2018-01-10
7413	14	Molise	15	2018-01-10
7414	15	Campania	196	2018-01-10
7415	16	Puglia	131	2018-01-10
7416	17	Basilicata	24	2018-01-10
7417	18	Calabria	75	2018-01-10
7418	19	Sicilia	197	2018-01-10
7419	20	Sardegna	70	2018-01-10
7420	1	Piemonte	220	2018-01-11
7421	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-11
7422	3	Lombardia	351	2018-01-11
7423	4	Trentino-Alto Adige/Südtirol	31	2018-01-11
7424	5	Veneto	168	2018-01-11
7425	6	Friuli-Venezia Giulia	45	2018-01-11
7426	7	Liguria	73	2018-01-11
7427	8	Emilia-Romagna	169	2018-01-11
7428	9	Toscana	157	2018-01-11
7429	10	Umbria	43	2018-01-11
7430	11	Marche	52	2018-01-11
7431	12	Lazio	227	2018-01-11
7432	13	Abruzzo	56	2018-01-11
7433	14	Molise	15	2018-01-11
7434	15	Campania	196	2018-01-11
7435	16	Puglia	131	2018-01-11
7436	17	Basilicata	24	2018-01-11
7437	18	Calabria	75	2018-01-11
7438	19	Sicilia	197	2018-01-11
7439	20	Sardegna	70	2018-01-11
7440	1	Piemonte	220	2018-01-12
7441	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-12
7442	3	Lombardia	351	2018-01-12
7443	4	Trentino-Alto Adige/Südtirol	31	2018-01-12
7444	5	Veneto	168	2018-01-12
7445	6	Friuli-Venezia Giulia	45	2018-01-12
7446	7	Liguria	73	2018-01-12
7447	8	Emilia-Romagna	169	2018-01-12
7448	9	Toscana	157	2018-01-12
7449	10	Umbria	43	2018-01-12
7450	11	Marche	52	2018-01-12
7451	12	Lazio	227	2018-01-12
7452	13	Abruzzo	56	2018-01-12
7453	14	Molise	15	2018-01-12
7454	15	Campania	196	2018-01-12
7455	16	Puglia	131	2018-01-12
7456	17	Basilicata	24	2018-01-12
7457	18	Calabria	75	2018-01-12
7458	19	Sicilia	197	2018-01-12
7459	20	Sardegna	70	2018-01-12
7460	1	Piemonte	220	2018-01-13
7461	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-13
7462	3	Lombardia	351	2018-01-13
7463	4	Trentino-Alto Adige/Südtirol	31	2018-01-13
7464	5	Veneto	168	2018-01-13
7465	6	Friuli-Venezia Giulia	45	2018-01-13
7466	7	Liguria	73	2018-01-13
7467	8	Emilia-Romagna	169	2018-01-13
7468	9	Toscana	157	2018-01-13
7469	10	Umbria	43	2018-01-13
7470	11	Marche	52	2018-01-13
7471	12	Lazio	227	2018-01-13
7472	13	Abruzzo	56	2018-01-13
7473	14	Molise	15	2018-01-13
7474	15	Campania	196	2018-01-13
7475	16	Puglia	131	2018-01-13
7476	17	Basilicata	24	2018-01-13
7477	18	Calabria	75	2018-01-13
7478	19	Sicilia	197	2018-01-13
7479	20	Sardegna	70	2018-01-13
7480	1	Piemonte	220	2018-01-14
7481	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-14
7482	3	Lombardia	351	2018-01-14
7483	4	Trentino-Alto Adige/Südtirol	31	2018-01-14
7484	5	Veneto	168	2018-01-14
7485	6	Friuli-Venezia Giulia	45	2018-01-14
7486	7	Liguria	73	2018-01-14
7487	8	Emilia-Romagna	169	2018-01-14
7488	9	Toscana	157	2018-01-14
7489	10	Umbria	43	2018-01-14
7490	11	Marche	52	2018-01-14
7491	12	Lazio	227	2018-01-14
7492	13	Abruzzo	56	2018-01-14
7493	14	Molise	15	2018-01-14
7494	15	Campania	196	2018-01-14
7495	16	Puglia	131	2018-01-14
7496	17	Basilicata	24	2018-01-14
7497	18	Calabria	75	2018-01-14
7498	19	Sicilia	197	2018-01-14
7499	20	Sardegna	70	2018-01-14
7500	1	Piemonte	220	2018-01-15
7501	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-15
7502	3	Lombardia	351	2018-01-15
7503	4	Trentino-Alto Adige/Südtirol	31	2018-01-15
7504	5	Veneto	168	2018-01-15
7505	6	Friuli-Venezia Giulia	45	2018-01-15
7506	7	Liguria	73	2018-01-15
7507	8	Emilia-Romagna	169	2018-01-15
7508	9	Toscana	157	2018-01-15
7509	10	Umbria	43	2018-01-15
7510	11	Marche	52	2018-01-15
7511	12	Lazio	227	2018-01-15
7512	13	Abruzzo	56	2018-01-15
7513	14	Molise	15	2018-01-15
7514	15	Campania	196	2018-01-15
7515	16	Puglia	131	2018-01-15
7516	17	Basilicata	24	2018-01-15
7517	18	Calabria	75	2018-01-15
7518	19	Sicilia	197	2018-01-15
7519	20	Sardegna	70	2018-01-15
7520	1	Piemonte	220	2018-01-16
7521	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-16
7522	3	Lombardia	351	2018-01-16
7523	4	Trentino-Alto Adige/Südtirol	31	2018-01-16
7524	5	Veneto	168	2018-01-16
7525	6	Friuli-Venezia Giulia	45	2018-01-16
7526	7	Liguria	73	2018-01-16
7527	8	Emilia-Romagna	169	2018-01-16
7528	9	Toscana	157	2018-01-16
7529	10	Umbria	43	2018-01-16
7530	11	Marche	52	2018-01-16
7531	12	Lazio	227	2018-01-16
7532	13	Abruzzo	56	2018-01-16
7533	14	Molise	15	2018-01-16
7534	15	Campania	196	2018-01-16
7535	16	Puglia	131	2018-01-16
7536	17	Basilicata	24	2018-01-16
7537	18	Calabria	75	2018-01-16
7538	19	Sicilia	197	2018-01-16
7539	20	Sardegna	70	2018-01-16
7540	1	Piemonte	220	2018-01-17
7541	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-17
7542	3	Lombardia	351	2018-01-17
7543	4	Trentino-Alto Adige/Südtirol	31	2018-01-17
7544	5	Veneto	168	2018-01-17
7545	6	Friuli-Venezia Giulia	45	2018-01-17
7546	7	Liguria	73	2018-01-17
7547	8	Emilia-Romagna	169	2018-01-17
7548	9	Toscana	157	2018-01-17
7549	10	Umbria	43	2018-01-17
7550	11	Marche	52	2018-01-17
7551	12	Lazio	227	2018-01-17
7552	13	Abruzzo	56	2018-01-17
7553	14	Molise	15	2018-01-17
7554	15	Campania	196	2018-01-17
7555	16	Puglia	131	2018-01-17
7556	17	Basilicata	24	2018-01-17
7557	18	Calabria	75	2018-01-17
7558	19	Sicilia	197	2018-01-17
7559	20	Sardegna	70	2018-01-17
7560	1	Piemonte	220	2018-01-18
7561	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-18
7562	3	Lombardia	351	2018-01-18
7563	4	Trentino-Alto Adige/Südtirol	31	2018-01-18
7564	5	Veneto	168	2018-01-18
7565	6	Friuli-Venezia Giulia	45	2018-01-18
7566	7	Liguria	73	2018-01-18
7567	8	Emilia-Romagna	169	2018-01-18
7568	9	Toscana	157	2018-01-18
7569	10	Umbria	43	2018-01-18
7570	11	Marche	52	2018-01-18
7571	12	Lazio	227	2018-01-18
7572	13	Abruzzo	56	2018-01-18
7573	14	Molise	15	2018-01-18
7574	15	Campania	196	2018-01-18
7575	16	Puglia	131	2018-01-18
7576	17	Basilicata	24	2018-01-18
7577	18	Calabria	75	2018-01-18
7578	19	Sicilia	197	2018-01-18
7579	20	Sardegna	70	2018-01-18
7580	1	Piemonte	220	2018-01-19
7581	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-19
7582	3	Lombardia	351	2018-01-19
7583	4	Trentino-Alto Adige/Südtirol	31	2018-01-19
7584	5	Veneto	168	2018-01-19
7585	6	Friuli-Venezia Giulia	45	2018-01-19
7586	7	Liguria	73	2018-01-19
7587	8	Emilia-Romagna	169	2018-01-19
7588	9	Toscana	157	2018-01-19
7589	10	Umbria	43	2018-01-19
7590	11	Marche	52	2018-01-19
7591	12	Lazio	227	2018-01-19
7592	13	Abruzzo	56	2018-01-19
7593	14	Molise	15	2018-01-19
7594	15	Campania	196	2018-01-19
7595	16	Puglia	131	2018-01-19
7596	17	Basilicata	24	2018-01-19
7597	18	Calabria	75	2018-01-19
7598	19	Sicilia	197	2018-01-19
7599	20	Sardegna	70	2018-01-19
7600	1	Piemonte	220	2018-01-20
7601	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-20
7602	3	Lombardia	351	2018-01-20
7603	4	Trentino-Alto Adige/Südtirol	31	2018-01-20
7604	5	Veneto	168	2018-01-20
7605	6	Friuli-Venezia Giulia	45	2018-01-20
7606	7	Liguria	73	2018-01-20
7607	8	Emilia-Romagna	169	2018-01-20
7608	9	Toscana	157	2018-01-20
7609	10	Umbria	43	2018-01-20
7610	11	Marche	52	2018-01-20
7611	12	Lazio	227	2018-01-20
7612	13	Abruzzo	56	2018-01-20
7613	14	Molise	15	2018-01-20
7614	15	Campania	196	2018-01-20
7615	16	Puglia	131	2018-01-20
7616	17	Basilicata	24	2018-01-20
7617	18	Calabria	75	2018-01-20
7618	19	Sicilia	197	2018-01-20
7619	20	Sardegna	70	2018-01-20
7620	1	Piemonte	220	2018-01-21
7621	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-21
7622	3	Lombardia	351	2018-01-21
7623	4	Trentino-Alto Adige/Südtirol	31	2018-01-21
7624	5	Veneto	168	2018-01-21
7625	6	Friuli-Venezia Giulia	45	2018-01-21
7626	7	Liguria	73	2018-01-21
7627	8	Emilia-Romagna	169	2018-01-21
7628	9	Toscana	157	2018-01-21
7629	10	Umbria	43	2018-01-21
7630	11	Marche	52	2018-01-21
7631	12	Lazio	227	2018-01-21
7632	13	Abruzzo	56	2018-01-21
7633	14	Molise	15	2018-01-21
7634	15	Campania	196	2018-01-21
7635	16	Puglia	131	2018-01-21
7636	17	Basilicata	24	2018-01-21
7637	18	Calabria	75	2018-01-21
7638	19	Sicilia	197	2018-01-21
7639	20	Sardegna	70	2018-01-21
7640	1	Piemonte	220	2018-01-22
7641	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-22
7642	3	Lombardia	351	2018-01-22
7643	4	Trentino-Alto Adige/Südtirol	31	2018-01-22
7644	5	Veneto	168	2018-01-22
7645	6	Friuli-Venezia Giulia	45	2018-01-22
7646	7	Liguria	73	2018-01-22
7647	8	Emilia-Romagna	169	2018-01-22
7648	9	Toscana	157	2018-01-22
7649	10	Umbria	43	2018-01-22
7650	11	Marche	52	2018-01-22
7651	12	Lazio	227	2018-01-22
7652	13	Abruzzo	56	2018-01-22
7653	14	Molise	15	2018-01-22
7654	15	Campania	196	2018-01-22
7655	16	Puglia	131	2018-01-22
7656	17	Basilicata	24	2018-01-22
7657	18	Calabria	75	2018-01-22
7658	19	Sicilia	197	2018-01-22
7659	20	Sardegna	70	2018-01-22
7660	1	Piemonte	220	2018-01-23
7661	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-23
7662	3	Lombardia	351	2018-01-23
7663	4	Trentino-Alto Adige/Südtirol	31	2018-01-23
7664	5	Veneto	168	2018-01-23
7665	6	Friuli-Venezia Giulia	45	2018-01-23
7666	7	Liguria	73	2018-01-23
7667	8	Emilia-Romagna	169	2018-01-23
7668	9	Toscana	157	2018-01-23
7669	10	Umbria	43	2018-01-23
7670	11	Marche	52	2018-01-23
7671	12	Lazio	227	2018-01-23
7672	13	Abruzzo	56	2018-01-23
7673	14	Molise	15	2018-01-23
7674	15	Campania	196	2018-01-23
7675	16	Puglia	131	2018-01-23
7676	17	Basilicata	24	2018-01-23
7677	18	Calabria	75	2018-01-23
7678	19	Sicilia	197	2018-01-23
7679	20	Sardegna	70	2018-01-23
7680	1	Piemonte	220	2018-01-24
7681	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-24
7682	3	Lombardia	351	2018-01-24
7683	4	Trentino-Alto Adige/Südtirol	31	2018-01-24
7684	5	Veneto	168	2018-01-24
7685	6	Friuli-Venezia Giulia	45	2018-01-24
7686	7	Liguria	73	2018-01-24
7687	8	Emilia-Romagna	169	2018-01-24
7688	9	Toscana	157	2018-01-24
7689	10	Umbria	43	2018-01-24
7690	11	Marche	52	2018-01-24
7691	12	Lazio	227	2018-01-24
7692	13	Abruzzo	56	2018-01-24
7693	14	Molise	15	2018-01-24
7694	15	Campania	196	2018-01-24
7695	16	Puglia	131	2018-01-24
7696	17	Basilicata	24	2018-01-24
7697	18	Calabria	75	2018-01-24
7698	19	Sicilia	197	2018-01-24
7699	20	Sardegna	70	2018-01-24
7700	1	Piemonte	220	2018-01-25
7701	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-25
7702	3	Lombardia	351	2018-01-25
7703	4	Trentino-Alto Adige/Südtirol	31	2018-01-25
7704	5	Veneto	168	2018-01-25
7705	6	Friuli-Venezia Giulia	45	2018-01-25
7706	7	Liguria	73	2018-01-25
7707	8	Emilia-Romagna	169	2018-01-25
7708	9	Toscana	157	2018-01-25
7709	10	Umbria	43	2018-01-25
7710	11	Marche	52	2018-01-25
7711	12	Lazio	227	2018-01-25
7712	13	Abruzzo	56	2018-01-25
7713	14	Molise	15	2018-01-25
7714	15	Campania	196	2018-01-25
7715	16	Puglia	131	2018-01-25
7716	17	Basilicata	24	2018-01-25
7717	18	Calabria	75	2018-01-25
7718	19	Sicilia	197	2018-01-25
7719	20	Sardegna	70	2018-01-25
7720	1	Piemonte	220	2018-01-26
7721	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-26
7722	3	Lombardia	351	2018-01-26
7723	4	Trentino-Alto Adige/Südtirol	31	2018-01-26
7724	5	Veneto	168	2018-01-26
7725	6	Friuli-Venezia Giulia	45	2018-01-26
7726	7	Liguria	73	2018-01-26
7727	8	Emilia-Romagna	169	2018-01-26
7728	9	Toscana	157	2018-01-26
7729	10	Umbria	43	2018-01-26
7730	11	Marche	52	2018-01-26
7731	12	Lazio	227	2018-01-26
7732	13	Abruzzo	56	2018-01-26
7733	14	Molise	15	2018-01-26
7734	15	Campania	196	2018-01-26
7735	16	Puglia	131	2018-01-26
7736	17	Basilicata	24	2018-01-26
7737	18	Calabria	75	2018-01-26
7738	19	Sicilia	197	2018-01-26
7739	20	Sardegna	70	2018-01-26
7740	1	Piemonte	220	2018-01-27
7741	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-27
7742	3	Lombardia	351	2018-01-27
7743	4	Trentino-Alto Adige/Südtirol	31	2018-01-27
7744	5	Veneto	168	2018-01-27
7745	6	Friuli-Venezia Giulia	45	2018-01-27
7746	7	Liguria	73	2018-01-27
7747	8	Emilia-Romagna	169	2018-01-27
7748	9	Toscana	157	2018-01-27
7749	10	Umbria	43	2018-01-27
7750	11	Marche	52	2018-01-27
7751	12	Lazio	227	2018-01-27
7752	13	Abruzzo	56	2018-01-27
7753	14	Molise	15	2018-01-27
7754	15	Campania	196	2018-01-27
7755	16	Puglia	131	2018-01-27
7756	17	Basilicata	24	2018-01-27
7757	18	Calabria	75	2018-01-27
7758	19	Sicilia	197	2018-01-27
7759	20	Sardegna	70	2018-01-27
7760	1	Piemonte	220	2018-01-28
7761	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-28
7762	3	Lombardia	351	2018-01-28
7763	4	Trentino-Alto Adige/Südtirol	31	2018-01-28
7764	5	Veneto	168	2018-01-28
7765	6	Friuli-Venezia Giulia	45	2018-01-28
7766	7	Liguria	73	2018-01-28
7767	8	Emilia-Romagna	169	2018-01-28
7768	9	Toscana	157	2018-01-28
7769	10	Umbria	43	2018-01-28
7770	11	Marche	52	2018-01-28
7771	12	Lazio	227	2018-01-28
7772	13	Abruzzo	56	2018-01-28
7773	14	Molise	15	2018-01-28
7774	15	Campania	196	2018-01-28
7775	16	Puglia	131	2018-01-28
7776	17	Basilicata	24	2018-01-28
7777	18	Calabria	75	2018-01-28
7778	19	Sicilia	197	2018-01-28
7779	20	Sardegna	70	2018-01-28
7780	1	Piemonte	220	2018-01-29
7781	2	Valle d'Aosta/Vallée d'Aoste	5	2018-01-29
7782	3	Lombardia	351	2018-01-29
7783	4	Trentino-Alto Adige/Südtirol	31	2018-01-29
7784	5	Veneto	168	2018-01-29
7785	6	Friuli-Venezia Giulia	45	2018-01-29
7786	7	Liguria	73	2018-01-29
7787	8	Emilia-Romagna	169	2018-01-29
7788	9	Toscana	157	2018-01-29
7789	10	Umbria	43	2018-01-29
7790	11	Marche	52	2018-01-29
7791	12	Lazio	227	2018-01-29
7792	13	Abruzzo	56	2018-01-29
7793	14	Molise	15	2018-01-29
7794	15	Campania	196	2018-01-29
