Modena,3293,3654,6947,3430,3739,7169,3363,3701,7064,3258,3551,6809,3418,3855,7273,3432,3917,7349,3491,3893,7384,3337,3844,7181
Bologna,5254,6006,11260,5468,5967,11435,5102,5993,11095,5168,5930,11098,5618,6673,12291,5303,6034,11337,5567,6310,11877,5448,6230,11678
Ferrara,2147,2407,4554,2223,2574,4797,2064,2321,4385,2130,2449,4579,2310,2746,5056,2170,2588,4758,2338,2679,5017,2264,2504,4768
Ravenna,2172,2342,4514,2182,2311,4493,2055,2333,4388,2087,2282,4369,2244,2526,4770,2159,2366,4525,2193,2485,4678,2182,2378,4560
Forlì-Cesena,2007,2080,4087,2068,2207,4275,1951,2207,4158,2022,2140,4162,2038,2351,4389,2074,2158,4232,2106,2337,4443,2024,2253,4277
Rimini,1499,1628,3127,1505,1682,3187,1544,1596,3140,1558,1560,3118,1638,1790,3428,1540,1668,3208,1695,1774,3469,1589,1738,3327
Centro (I),59114,62906,122020,60892,66012,126904,59507,63986,123493,59532,63645,123177,63119,69636,132755,60395,66494,126889,63258,70452,133710,60647,67337,127984
Toscana,19863,21830,41693,20604,22852,43456,19963,22222,42185,19734,21773,41507,21426,23924,45350,19963,22514,42477,20955,23566,44521,20329,23113,43442
Massa-Carrara,1194,1283,2477,1213,1353,2566,1274,1407,2681,1117,1322,2439,1233,1487,2720,1167,1290,2457,1174,1409,2583,1170,1393,2563
Lucca,2189,2399,4588,2249,2535,4784,2227,2447,4674,2148,2431,4579,2294,2661,4955,2148,2470,4618,2358,2575,4933,2197,2631,4828
Pistoia,1484,1671,3155,1593,1684,3277,1498,1631,3129,1469,1667,3136,1596,1736,3332,1548,1681,3229,1694,1806,3500,1572,1727,3299
Firenze,5110,5672,10782,5276,5927,11203,5088,5694,10782,5143,5691,10834,5580,6355,11935,5144,5939,11083,5431,6228,11659,5210,5961,11171
Livorno,1843,2158,4001,1992,2269,4261,1941,2134,4075,2000,2070,4070,2098,2286,4384,1954,2156,4110,1937,2294,4231,2003,2222,4225
Pisa,2210,2423,4633,2264,2535,4799,2141,2448,4589,2101,2298,4399,2294,2603,4897,2103,2428,4531,2300,2443,4743,2204,2515,4719
Arezzo,1856,1972,3828,1876,2001,3877,1896,2017,3913,1896,1977,3873,1992,2117,4109,1842,2038,3880,1875,2200,4075,1888,2115,4003
Siena,1505,1666,3171,1601,1747,3348,1493,1726,3219,1487,1649,3136,1615,1893,3508,1524,1828,3352,1635,1778,3413,1584,1715,3299
Grosseto,1299,1413,2712,1382,1538,2920,1308,1438,2746,1274,1438,2712,1432,1535,2967,1329,1441,2770,1363,1516,2879,1281,1466,2747
Prato,1173,1173,2346,1158,1263,2421,1097,1280,2377,1099,1230,2329,1292,1251,2543,1204,1243,2447,1188,1317,2505,1220,1368,2588
Umbria,4825,5112,9937,5040,5378,10418,4913,5211,10124,4734,5173,9907,5128,5683,10811,4813,5439,10252,5044,5745,10789,4698,5380,10078
Perugia,3444,3636,7080,3568,3804,7372,3521,3651,7172,3413,3669,7082,3677,4070,7747,3462,3892,7354,3633,4124,7757,3391,3845,7236
Terni,1381,1476,2857,1472,1574,3046,1392,1560,2952,1321,1504,2825,1451,1613,3064,1351,1547,2898,1411,1621,3032,1307,1535,2842
Marche,8075,8337,16412,8274,8842,17116,8223,8647,16870,8196,8630,16826,8697,9509,18206,8342,8980,17322,8596,9853,18449,8117,9058,17175
Pesaro e Urbino,1847,1872,3719,1871,1996,3867,1922,1913,3835,1800,1889,3689,1942,2068,4010,1829,2017,3846,1845,2087,3932,1816,2037,3853
Ancona,2458,2588,5046,2523,2748,5271,2518,2725,5243,2502,2775,5277,2640,2932,5572,2523,2788,5311,2633,3015,5648,2427,2904,5331
Macerata,1723,1839,3562,1853,1972,3825,1770,1862,3632,1814,1831,3645,1917,2020,3937,1786,1931,3717,1816,2186,4002,1703,1787,3490
Ascoli Piceno,1124,1138,2262,1088,1138,2226,1042,1185,2227,1128,1149,2277,1152,1369,2521,1209,1204,2413,1201,1331,2532,1230,1257,2487
Fermo,923,900,1823,939,988,1927,971,962,1933,952,986,1938,1046,1120,2166,995,1040,2035,1101,1234,2335,941,1073,2014
Lazio,26351,27627,53978,26974,28940,55914,26408,27906,54314,26868,28069,54937,27868,30520,58388,27277,29561,56838,28663,31288,59951,27503,29786,57289
Viterbo,1748,1769,3517,1828,1917,3745,1763,1845,3608,1866,1802,3668,1967,2061,4028,1755,1860,3615,1932,2049,3981,1888,1948,3836
Rieti,877,937,1814,932,982,1914,963,985,1948,969,897,1866,1003,994,1997,933,1081,2014,934,1088,2022,875,873,1748
Roma,18643,20048,38691,18937,20907,39844,18644,19984,38628,18828,20400,39228,19574,21981,41555,19303,21312,40615,20395,22503,42898,19479,21672,41151
Latina,2334,2296,4630,2547,2432,4979,2380,2346,4726,2573,2312,4885,2641,2665,5306,2607,2523,5130,2707,2633,5340,2626,2607,5233
Frosinone,2749,2577,5326,2730,2702,5432,2658,2746,5404,2632,2658,5290,2683,2819,5502,2679,2785,5464,2695,3015,5710,2635,2686,5321
Mezzogiorno,97304,97763,195067,98552,100617,199169,97376,98352,195728,97552,99497,197049,103326,108614,211940,98738,101579,200317,104899,109514,214413,100741,104479,205220
Sud,64811,65152,129963,65394,66906,132300,65035,65836,130871,65341,66598,131939,69337,72958,142295,65935,68250,134185,69909,73373,143282,67232,69728,136960
Abruzzo,7149,7078,14227,7088,7434,14522,7029,7386,14415,7088,7294,14382,7367,7998,15365,7082,7464,14546,7396,8088,15484,7123,7557,14680
L'Aquila,1703,1787,3490,1681,1869,3550,1703,1838,3541,1710,1805,3515,1663,1962,3625,1727,1832,3559,1671,1919,3590,1637,1833,3470
Teramo,1653,1494,3147,1578,1591,3169,1610,1628,3238,1586,1574,3160,1712,1784,3496,1551,1662,3213,1752,1784,3536,1591,1592,3183
Pescara,1650,1671,3321,1640,1770,3410,1554,1647,3201,1632,1737,3369,1711,1845,3556,1619,1656,3275,1685,1883,3568,1679,1791,3470
Chieti,2143,2126,4269,2189,2204,4393,2162,2273,4435,2160,2178,4338,2281,2407,4688,2185,2314,4499,2288,2502,4790,2216,2341,4557
Molise,1805,1827,3632,1784,1843,3627,1743,1818,3561,1819,1742,3561,1917,1967,3884,1755,1824,3579,1866,1989,3855,1835,1868,3703
Campobasso,1283,1286,2569,1249,1270,2519,1233,1289,2522,1310,1213,2523,1398,1415,2813,1251,1283,2534,1346,1401,2747,1344,1292,2636
Isernia,522,541,1063,535,573,1108,510,529,1039,509,529,1038,519,552,1071,504,541,1045,520,588,1108,491,576,1067
Campania,25726,26057,51783,25858,26451,52309,25904,26330,52234,25546,26331,51877,27519,29277,56796,26083,26961,53044,27327,28967,56294,26532,27208,53740
Caserta,3788,3688,7476,3865,3818,7683,3828,3802,7630,3724,3795,7519,4001,4199,8200,4072,3967,8039,4200,4206,8406,4139,4007,8146
Benevento,1613,1613,3226,1613,1624,3237,1572,1583,3155,1518,1696,3214,1721,1753,3474,1578,1641,3219,1645,1806,3451,1553,1674,3227
Napoli,12916,13224,26140,12949,13412,26361,12767,13366,26133,12920,13242,26162,13760,14758,28518,12920,13607,26527,13536,14595,28131,13219,13574,26793
Avellino,2170,2323,4493,2255,2343,4598,2294,2250,4544,2259,2350,4609,2357,2562,4919,2214,2347,4561,2350,2400,4750,2228,2314,4542
Salerno,5239,5209,10448,5176,5254,10430,5443,5329,10772,5125,5248,10373,5680,6005,11685,5299,5399,10698,5596,5960,11556,5393,5639,11032
