	date	death	  0 - 30	30 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80 	80 - 85	85 - 90	90 - 95	95 - 100	100 u. mehr
151	2016-05-31	2345	15	64	60	99	150	152	196	354	399	437	303	93	23
152	2016-06-01	2369	30	64	72	94	126	173	182	377	386	454	291	105	15
153	2016-06-02	2416	21	62	73	101	127	173	205	388	431	385	336	97	17
154	2016-06-03	2349	24	72	68	91	133	164	192	375	374	464	283	96	13
155	2016-06-04	2338	13	66	57	105	120	150	189	351	414	456	314	86	17
156	2016-06-05	2168	23	61	45	84	117	138	202	347	367	392	291	83	18
157	2016-06-06	2378	23	70	70	97	148	144	194	389	373	427	310	113	20
158	2016-06-07	2334	22	62	77	91	124	151	204	358	381	436	320	88	20
159	2016-06-08	2355	16	69	59	85	128	154	229	358	417	396	334	93	17
160	2016-06-09	2177	26	63	57	82	117	140	192	333	386	399	284	83	15
161	2016-06-10	2265	27	64	68	115	108	147	191	352	395	415	274	95	14
162	2016-06-11	2121	23	80	62	86	101	124	195	334	350	379	297	78	12
163	2016-06-12	2169	25	66	61	90	117	154	156	350	344	394	289	105	18
164	2016-06-13	2293	20	62	65	99	112	147	212	335	401	426	300	94	20
165	2016-06-14	2288	23	51	71	86	120	149	194	372	409	428	273	102	10
166	2016-06-15	2259	17	59	53	78	131	146	215	345	383	436	290	90	16
167	2016-06-16	2370	15	69	71	92	129	163	222	340	406	408	330	108	17
168	2016-06-17	2208	20	60	56	74	108	146	190	393	364	408	281	83	25
169	2016-06-18	2186	25	57	54	99	123	157	209	320	336	420	276	95	15
170	2016-06-19	2113	24	56	64	92	118	129	178	371	365	344	289	66	17
171	2016-06-20	2314	19	71	78	107	144	152	222	361	367	431	273	81	8
172	2016-06-21	2346	12	82	51	88	124	159	226	367	382	437	309	91	18
173	2016-06-22	2506	24	74	83	110	137	172	236	374	454	452	280	99	11
174	2016-06-23	2475	19	54	74	111	139	190	221	375	407	469	305	88	23
175	2016-06-24	2712	24	82	85	111	145	177	233	416	467	483	351	115	23
176	2016-06-25	2492	23	59	58	103	161	173	220	386	415	461	322	93	18
177	2016-06-26	2065	17	68	53	69	114	141	174	308	353	388	260	100	20
178	2016-06-27	2191	20	65	38	95	128	159	202	331	379	381	296	86	11
179	2016-06-28	2302	22	56	59	85	119	169	197	355	404	406	310	111	9
