	date	country	confirmed	death	recovered
254	3/18/20	Algeria	74.0	7.0	12.0
255	3/19/20	Algeria	87.0	9.0	32.0
256	3/20/20	Algeria	90.0	11.0	32.0
257	3/21/20	Algeria	139.0	15.0	32.0
258	3/22/20	Algeria	201.0	17.0	65.0
259	3/23/20	Algeria	230.0	17.0	65.0
260	3/24/20	Algeria	264.0	19.0	24.0
261	3/25/20	Algeria	302.0	21.0	65.0
262	3/26/20	Algeria	367.0	25.0	29.0
263	3/27/20	Algeria	409.0	26.0	29.0
264	3/28/20	Algeria	454.0	29.0	31.0
265	3/29/20	Algeria	511.0	31.0	31.0
266	3/30/20	Algeria	584.0	35.0	37.0
267	3/31/20	Algeria	716.0	44.0	46.0
268	4/1/20	Algeria	847.0	58.0	61.0
269	4/2/20	Algeria	986.0	86.0	61.0
270	4/3/20	Algeria	1171.0	105.0	62.0
271	4/4/20	Algeria	1251.0	130.0	90.0
272	4/5/20	Algeria	1320.0	152.0	90.0
273	4/6/20	Algeria	1423.0	173.0	90.0
274	4/7/20	Algeria	1468.0	193.0	113.0
275	4/8/20	Algeria	1572.0	205.0	237.0
276	4/9/20	Algeria	1666.0	235.0	347.0
277	4/10/20	Algeria	1761.0	256.0	405.0
278	4/11/20	Algeria	1825.0	275.0	460.0
279	4/12/20	Algeria	1914.0	293.0	591.0
280	4/13/20	Algeria	1983.0	313.0	601.0
281	4/14/20	Algeria	2070.0	326.0	691.0
282	4/15/20	Algeria	2160.0	336.0	708.0
283	4/16/20	Algeria	2268.0	348.0	783.0
284	4/17/20	Algeria	2418.0	364.0	846.0
285	4/18/20	Algeria	2534.0	367.0	894.0
286	4/19/20	Algeria	2629.0	375.0	1047.0
287	4/20/20	Algeria	2718.0	384.0	1099.0
288	4/21/20	Algeria	2811.0	392.0	1152.0
289	4/22/20	Algeria	2910.0	402.0	1204.0
290	4/23/20	Algeria	3007.0	407.0	1355.0
291	4/24/20	Algeria	3127.0	415.0	1408.0
292	4/25/20	Algeria	3256.0	419.0	1479.0
293	4/26/20	Algeria	3382.0	425.0	1508.0
294	4/27/20	Algeria	3517.0	432.0	1558.0
295	4/28/20	Algeria	3649.0	437.0	1651.0
296	4/29/20	Algeria	3848.0	444.0	1702.0
297	1/22/20	Andorra	0.0	0.0	0.0
298	1/23/20	Andorra	0.0	0.0	0.0
299	1/24/20	Andorra	0.0	0.0	0.0
300	1/25/20	Andorra	0.0	0.0	0.0
301	1/26/20	Andorra	0.0	0.0	0.0
302	1/27/20	Andorra	0.0	0.0	0.0
303	1/28/20	Andorra	0.0	0.0	0.0
304	1/29/20	Andorra	0.0	0.0	0.0
305	1/30/20	Andorra	0.0	0.0	0.0
306	1/31/20	Andorra	0.0	0.0	0.0
307	2/1/20	Andorra	0.0	0.0	0.0
308	2/2/20	Andorra	0.0	0.0	0.0
309	2/3/20	Andorra	0.0	0.0	0.0
310	2/4/20	Andorra	0.0	0.0	0.0
311	2/5/20	Andorra	0.0	0.0	0.0
312	2/6/20	Andorra	0.0	0.0	0.0
313	2/7/20	Andorra	0.0	0.0	0.0
314	2/8/20	Andorra	0.0	0.0	0.0
315	2/9/20	Andorra	0.0	0.0	0.0
316	2/10/20	Andorra	0.0	0.0	0.0
317	2/11/20	Andorra	0.0	0.0	0.0
318	2/12/20	Andorra	0.0	0.0	0.0
319	2/13/20	Andorra	0.0	0.0	0.0
320	2/14/20	Andorra	0.0	0.0	0.0
321	2/15/20	Andorra	0.0	0.0	0.0
322	2/16/20	Andorra	0.0	0.0	0.0
323	2/17/20	Andorra	0.0	0.0	0.0
324	2/18/20	Andorra	0.0	0.0	0.0
325	2/19/20	Andorra	0.0	0.0	0.0
326	2/20/20	Andorra	0.0	0.0	0.0
327	2/21/20	Andorra	0.0	0.0	0.0
328	2/22/20	Andorra	0.0	0.0	0.0
329	2/23/20	Andorra	0.0	0.0	0.0
330	2/24/20	Andorra	0.0	0.0	0.0
331	2/25/20	Andorra	0.0	0.0	0.0
332	2/26/20	Andorra	0.0	0.0	0.0
333	2/27/20	Andorra	0.0	0.0	0.0
334	2/28/20	Andorra	0.0	0.0	0.0
335	2/29/20	Andorra	0.0	0.0	0.0
336	3/1/20	Andorra	0.0	0.0	0.0
337	3/2/20	Andorra	1.0	0.0	0.0
338	3/3/20	Andorra	1.0	0.0	0.0
339	3/4/20	Andorra	1.0	0.0	0.0
340	3/5/20	Andorra	1.0	0.0	0.0
341	3/6/20	Andorra	1.0	0.0	0.0
342	3/7/20	Andorra	1.0	0.0	0.0
343	3/8/20	Andorra	1.0	0.0	0.0
344	3/9/20	Andorra	1.0	0.0	0.0
345	3/10/20	Andorra	1.0	0.0	0.0
346	3/11/20	Andorra	1.0	0.0	0.0
347	3/12/20	Andorra	1.0	0.0	1.0
348	3/13/20	Andorra	1.0	0.0	0.0
349	3/14/20	Andorra	1.0	0.0	1.0
350	3/15/20	Andorra	1.0	0.0	1.0
351	3/16/20	Andorra	2.0	0.0	1.0
352	3/17/20	Andorra	39.0	0.0	1.0
353	3/18/20	Andorra	39.0	0.0	1.0
354	3/19/20	Andorra	53.0	0.0	1.0
355	3/20/20	Andorra	75.0	0.0	1.0
356	3/21/20	Andorra	88.0	0.0	1.0
357	3/22/20	Andorra	113.0	1.0	1.0
358	3/23/20	Andorra	133.0	1.0	1.0
359	3/24/20	Andorra	164.0	1.0	1.0
360	3/25/20	Andorra	188.0	1.0	1.0
361	3/26/20	Andorra	224.0	3.0	1.0
362	3/27/20	Andorra	267.0	3.0	1.0
363	3/28/20	Andorra	308.0	3.0	1.0
364	3/29/20	Andorra	334.0	6.0	1.0
365	3/30/20	Andorra	370.0	8.0	10.0
366	3/31/20	Andorra	376.0	12.0	10.0
367	4/1/20	Andorra	390.0	14.0	10.0
368	4/2/20	Andorra	428.0	15.0	10.0
369	4/3/20	Andorra	439.0	16.0	16.0
370	4/4/20	Andorra	466.0	17.0	21.0
371	4/5/20	Andorra	501.0	18.0	26.0
372	4/6/20	Andorra	525.0	21.0	31.0
373	4/7/20	Andorra	545.0	22.0	39.0
374	4/8/20	Andorra	564.0	23.0	52.0
375	4/9/20	Andorra	583.0	25.0	58.0
376	4/10/20	Andorra	601.0	26.0	71.0
377	4/11/20	Andorra	601.0	26.0	71.0
378	4/12/20	Andorra	638.0	29.0	128.0
379	4/13/20	Andorra	646.0	29.0	128.0
380	4/14/20	Andorra	659.0	31.0	128.0
381	4/15/20	Andorra	673.0	33.0	169.0
382	4/16/20	Andorra	673.0	33.0	169.0
383	4/17/20	Andorra	696.0	35.0	191.0
384	4/18/20	Andorra	704.0	35.0	205.0
385	4/19/20	Andorra	713.0	36.0	235.0
386	4/20/20	Andorra	717.0	37.0	248.0
387	4/21/20	Andorra	717.0	37.0	282.0
388	4/22/20	Andorra	723.0	37.0	309.0
389	4/23/20	Andorra	723.0	37.0	333.0
390	4/24/20	Andorra	731.0	40.0	344.0
391	4/25/20	Andorra	738.0	40.0	344.0
392	4/26/20	Andorra	738.0	40.0	344.0
393	4/27/20	Andorra	743.0	40.0	385.0
394	4/28/20	Andorra	743.0	41.0	398.0
395	4/29/20	Andorra	743.0	42.0	423.0
396	1/22/20	Angola	0.0	0.0	0.0
397	1/23/20	Angola	0.0	0.0	0.0
398	1/24/20	Angola	0.0	0.0	0.0
399	1/25/20	Angola	0.0	0.0	0.0
400	1/26/20	Angola	0.0	0.0	0.0
401	1/27/20	Angola	0.0	0.0	0.0
402	1/28/20	Angola	0.0	0.0	0.0
403	1/29/20	Angola	0.0	0.0	0.0
404	1/30/20	Angola	0.0	0.0	0.0
405	1/31/20	Angola	0.0	0.0	0.0
406	2/1/20	Angola	0.0	0.0	0.0
407	2/2/20	Angola	0.0	0.0	0.0
408	2/3/20	Angola	0.0	0.0	0.0
409	2/4/20	Angola	0.0	0.0	0.0
410	2/5/20	Angola	0.0	0.0	0.0
411	2/6/20	Angola	0.0	0.0	0.0
412	2/7/20	Angola	0.0	0.0	0.0
413	2/8/20	Angola	0.0	0.0	0.0
414	2/9/20	Angola	0.0	0.0	0.0
415	2/10/20	Angola	0.0	0.0	0.0
416	2/11/20	Angola	0.0	0.0	0.0
417	2/12/20	Angola	0.0	0.0	0.0
418	2/13/20	Angola	0.0	0.0	0.0
419	2/14/20	Angola	0.0	0.0	0.0
420	2/15/20	Angola	0.0	0.0	0.0
421	2/16/20	Angola	0.0	0.0	0.0
422	2/17/20	Angola	0.0	0.0	0.0
423	2/18/20	Angola	0.0	0.0	0.0
424	2/19/20	Angola	0.0	0.0	0.0
425	2/20/20	Angola	0.0	0.0	0.0
426	2/21/20	Angola	0.0	0.0	0.0
427	2/22/20	Angola	0.0	0.0	0.0
428	2/23/20	Angola	0.0	0.0	0.0
429	2/24/20	Angola	0.0	0.0	0.0
430	2/25/20	Angola	0.0	0.0	0.0
431	2/26/20	Angola	0.0	0.0	0.0
432	2/27/20	Angola	0.0	0.0	0.0
433	2/28/20	Angola	0.0	0.0	0.0
434	2/29/20	Angola	0.0	0.0	0.0
435	3/1/20	Angola	0.0	0.0	0.0
436	3/2/20	Angola	0.0	0.0	0.0
437	3/3/20	Angola	0.0	0.0	0.0
438	3/4/20	Angola	0.0	0.0	0.0
439	3/5/20	Angola	0.0	0.0	0.0
440	3/6/20	Angola	0.0	0.0	0.0
441	3/7/20	Angola	0.0	0.0	0.0
442	3/8/20	Angola	0.0	0.0	0.0
443	3/9/20	Angola	0.0	0.0	0.0
444	3/10/20	Angola	0.0	0.0	0.0
445	3/11/20	Angola	0.0	0.0	0.0
446	3/12/20	Angola	0.0	0.0	0.0
447	3/13/20	Angola	0.0	0.0	0.0
448	3/14/20	Angola	0.0	0.0	0.0
449	3/15/20	Angola	0.0	0.0	0.0
450	3/16/20	Angola	0.0	0.0	0.0
451	3/17/20	Angola	0.0	0.0	0.0
452	3/18/20	Angola	0.0	0.0	0.0
453	3/19/20	Angola	0.0	0.0	0.0
454	3/20/20	Angola	1.0	0.0	0.0
455	3/21/20	Angola	2.0	0.0	0.0
456	3/22/20	Angola	2.0	0.0	0.0
457	3/23/20	Angola	3.0	0.0	0.0
458	3/24/20	Angola	3.0	0.0	0.0
459	3/25/20	Angola	3.0	0.0	0.0
460	3/26/20	Angola	4.0	0.0	0.0
461	3/27/20	Angola	4.0	0.0	0.0
462	3/28/20	Angola	5.0	0.0	0.0
463	3/29/20	Angola	7.0	2.0	0.0
464	3/30/20	Angola	7.0	2.0	0.0
465	3/31/20	Angola	7.0	2.0	1.0
466	4/1/20	Angola	8.0	2.0	1.0
467	4/2/20	Angola	8.0	2.0	1.0
468	4/3/20	Angola	8.0	2.0	1.0
469	4/4/20	Angola	10.0	2.0	2.0
470	4/5/20	Angola	14.0	2.0	2.0
471	4/6/20	Angola	16.0	2.0	2.0
472	4/7/20	Angola	17.0	2.0	2.0
473	4/8/20	Angola	19.0	2.0	2.0
474	4/9/20	Angola	19.0	2.0	2.0
475	4/10/20	Angola	19.0	2.0	2.0
476	4/11/20	Angola	19.0	2.0	4.0
477	4/12/20	Angola	19.0	2.0	4.0
478	4/13/20	Angola	19.0	2.0	4.0
