	week	region	age_group	male	female	total
318	10/05/2015-16/05/2015	Abruzzo	2	0.0	0.0	0.0
319	17/05/2015-23/05/2015	Abruzzo	2	0.0	0.0	0.0
320	24/05/2015-30/05/2015	Abruzzo	2	0.0	1.0	1.0
321	31/05/2015-06/06/2015	Abruzzo	2	0.0	0.0	0.0
322	07/06/2015-13/06/2015	Abruzzo	2	0.0	0.0	0.0
323	14/06/2015-20/06/2015	Abruzzo	2	0.0	0.0	0.0
324	21/06/2015-27/06/2015	Abruzzo	2	0.0	0.0	0.0
325	01/01/2016-11/01/2016	Abruzzo	2	0.0	0.0	0.0
326	12/01/2016-18/01/2016	Abruzzo	2	0.0	0.0	0.0
327	19/01/2016-25/01/2016	Abruzzo	2	0.0	0.0	0.0
328	26/01/2016-01/02/2016	Abruzzo	2	0.0	0.0	0.0
329	02/02/2016-08/02/2016	Abruzzo	2	0.0	0.0	0.0
330	09/02/2016-15/02/2016	Abruzzo	2	0.0	0.0	0.0
331	16/02/2016-22/02/2016	Abruzzo	2	0.0	0.0	0.0
332	23/02/2016-29/02/2016	Abruzzo	2	0.0	0.0	0.0
333	01/03/2016-07/03/2016	Abruzzo	2	0.0	0.0	0.0
334	08/03/2016-14/03/2016	Abruzzo	2	0.0	0.0	0.0
335	15/03/2016-21/03/2016	Abruzzo	2	0.0	0.0	0.0
336	22/03/2016-28/03/2016	Abruzzo	2	0.0	0.0	0.0
337	29/03/2016-04/04/2016	Abruzzo	2	0.0	0.0	0.0
338	05/04/2016-11/04/2016	Abruzzo	2	0.0	0.0	0.0
339	12/04/2016-18/04/2016	Abruzzo	2	0.0	0.0	0.0
340	19/04/2016-25/04/2016	Abruzzo	2	0.0	0.0	0.0
341	26/04/2016-02/05/2016	Abruzzo	2	0.0	0.0	0.0
342	03/05/2016-09/05/2016	Abruzzo	2	0.0	0.0	0.0
343	10/05/2016-16/05/2016	Abruzzo	2	0.0	0.0	0.0
344	17/05/2016-23/05/2016	Abruzzo	2	0.0	0.0	0.0
345	24/05/2016-30/05/2016	Abruzzo	2	0.0	0.0	0.0
346	31/05/2016-06/06/2016	Abruzzo	2	0.0	0.0	0.0
347	07/06/2016-13/06/2016	Abruzzo	2	0.0	0.0	0.0
348	14/06/2016-20/06/2016	Abruzzo	2	0.0	0.0	0.0
349	21/06/2016-27/06/2016	Abruzzo	2	0.0	0.0	0.0
350	01/01/2017-11/01/2017	Abruzzo	2	0.0	0.0	0.0
351	12/01/2017-18/01/2017	Abruzzo	2	0.0	0.0	0.0
352	19/01/2017-25/01/2017	Abruzzo	2	0.0	0.0	0.0
353	26/01/2017-01/02/2017	Abruzzo	2	0.0	0.0	0.0
354	02/02/2017-08/02/2017	Abruzzo	2	0.0	0.0	0.0
355	09/02/2017-15/02/2017	Abruzzo	2	0.0	0.0	0.0
356	16/02/2017-22/02/2017	Abruzzo	2	0.0	0.0	0.0
357	23/02/2017-29/02/2017	Abruzzo	2	0.0	0.0	0.0
358	01/03/2017-07/03/2017	Abruzzo	2	0.0	0.0	0.0
359	08/03/2017-14/03/2017	Abruzzo	2	0.0	0.0	0.0
360	15/03/2017-21/03/2017	Abruzzo	2	0.0	0.0	0.0
361	22/03/2017-28/03/2017	Abruzzo	2	0.0	0.0	0.0
362	29/03/2017-04/04/2017	Abruzzo	2	0.0	0.0	0.0
363	05/04/2017-11/04/2017	Abruzzo	2	0.0	0.0	0.0
364	12/04/2017-18/04/2017	Abruzzo	2	0.0	0.0	0.0
365	19/04/2017-25/04/2017	Abruzzo	2	0.0	0.0	0.0
366	26/04/2017-02/05/2017	Abruzzo	2	0.0	0.0	0.0
367	03/05/2017-09/05/2017	Abruzzo	2	0.0	0.0	0.0
368	10/05/2017-16/05/2017	Abruzzo	2	0.0	0.0	0.0
369	17/05/2017-23/05/2017	Abruzzo	2	0.0	0.0	0.0
370	24/05/2017-30/05/2017	Abruzzo	2	0.0	0.0	0.0
371	31/05/2017-06/06/2017	Abruzzo	2	0.0	0.0	0.0
372	07/06/2017-13/06/2017	Abruzzo	2	0.0	0.0	0.0
373	14/06/2017-20/06/2017	Abruzzo	2	0.0	0.0	0.0
374	21/06/2017-27/06/2017	Abruzzo	2	0.0	0.0	0.0
375	01/01/2018-11/01/2018	Abruzzo	2	0.0	0.0	0.0
376	12/01/2018-18/01/2018	Abruzzo	2	0.0	0.0	0.0
