	week	region	age_group	male	female	total
149	16/02/2016-22/02/2016	Abruzzo	2	1.0	0.0	1.0
150	23/02/2016-29/02/2016	Abruzzo	2	1.0	1.0	2.0
151	01/03/2016-07/03/2016	Abruzzo	2	2.0	0.0	2.0
152	08/03/2016-14/03/2016	Abruzzo	2	1.0	0.0	1.0
153	15/03/2016-21/03/2016	Abruzzo	2	1.0	1.0	2.0
154	01/01/2017-11/01/2017	Abruzzo	2	5.0	2.0	7.0
155	12/01/2017-18/01/2017	Abruzzo	2	3.0	1.0	4.0
156	19/01/2017-25/01/2017	Abruzzo	2	1.0	2.0	3.0
157	26/01/2017-01/02/2017	Abruzzo	2	0.0	1.0	1.0
158	02/02/2017-08/02/2017	Abruzzo	2	2.0	3.0	5.0
159	09/02/2017-15/02/2017	Abruzzo	2	1.0	1.0	2.0
160	16/02/2017-22/02/2017	Abruzzo	2	4.0	1.0	5.0
161	23/02/2017-29/02/2017	Abruzzo	2	2.0	1.0	3.0
162	01/03/2017-07/03/2017	Abruzzo	2	1.0	1.0	2.0
163	08/03/2017-14/03/2017	Abruzzo	2	5.0	1.0	6.0
164	15/03/2017-21/03/2017	Abruzzo	2	9.0	1.0	10.0
165	01/01/2018-11/01/2018	Abruzzo	2	5.0	4.0	9.0
166	12/01/2018-18/01/2018	Abruzzo	2	3.0	0.0	3.0
167	19/01/2018-25/01/2018	Abruzzo	2	4.0	0.0	4.0
168	26/01/2018-01/02/2018	Abruzzo	2	1.0	1.0	2.0
169	02/02/2018-08/02/2018	Abruzzo	2	5.0	0.0	5.0
170	09/02/2018-15/02/2018	Abruzzo	2	1.0	0.0	1.0
171	16/02/2018-22/02/2018	Abruzzo	2	1.0	0.0	1.0
172	23/02/2018-29/02/2018	Abruzzo	2	1.0	1.0	2.0
173	01/03/2018-07/03/2018	Abruzzo	2	1.0	2.0	3.0
174	08/03/2018-14/03/2018	Abruzzo	2	2.0	2.0	4.0
175	15/03/2018-21/03/2018	Abruzzo	2	0.0	1.0	1.0
176	01/01/2019-11/01/2019	Abruzzo	2	3.0	2.0	5.0
177	12/01/2019-18/01/2019	Abruzzo	2	2.0	0.0	2.0
178	19/01/2019-25/01/2019	Abruzzo	2	0.0	1.0	1.0
179	26/01/2019-01/02/2019	Abruzzo	2	2.0	1.0	3.0
180	02/02/2019-08/02/2019	Abruzzo	2	3.0	3.0	6.0
181	09/02/2019-15/02/2019	Abruzzo	2	1.0	1.0	2.0
182	16/02/2019-22/02/2019	Abruzzo	2	1.0	2.0	3.0
183	23/02/2019-29/02/2019	Abruzzo	2	1.0	0.0	1.0
184	01/03/2019-07/03/2019	Abruzzo	2	1.0	4.0	5.0
185	08/03/2019-14/03/2019	Abruzzo	2	1.0	0.0	1.0
186	15/03/2019-21/03/2019	Abruzzo	2	1.0	0.0	1.0
187	01/01/2020-11/01/2020	Abruzzo	2	2.0	6.0	8.0
188	12/01/2020-18/01/2020	Abruzzo	2	2.0	2.0	4.0
189	19/01/2020-25/01/2020	Abruzzo	2	2.0	1.0	3.0
190	26/01/2020-01/02/2020	Abruzzo	2	1.0	1.0	2.0
191	02/02/2020-08/02/2020	Abruzzo	2	3.0	1.0	4.0
192	09/02/2020-15/02/2020	Abruzzo	2	3.0	0.0	3.0
193	16/02/2020-22/02/2020	Abruzzo	2	2.0	1.0	3.0
194	23/02/2020-29/02/2020	Abruzzo	2	0.0	2.0	2.0
195	01/03/2020-07/03/2020	Abruzzo	2	4.0	0.0	4.0
196	08/03/2020-14/03/2020	Abruzzo	2	1.0	0.0	1.0
197	15/03/2020-21/03/2020	Abruzzo	2	3.0	2.0	5.0
